mono,property,value
[*]CC(C=C1)=CC=C1OC(=S)[*],Ei,6.2998
[*]CCC(S1)=CC=C1C(S2)=CC=C2[*],Ei,5.1709
[*]CCC(S1)=CC=C1C(=S)[*],Ei,5.9475
[*]CCC(S1)=CC=C1O[*],Ei,5.5608
[*]CCC(C=C1)=CC=C1C(S2)=CC=C2[*],Ei,5.4079
[*]CCC(C=C1)=CC=C1C(=S)[*],Ei,5.8549
[*]CCC(C=C1)=CC=C1O[*],Ei,5.6727
[*]CCCC(S1)=CC=C1[*],Ei,5.6976
[*]CCCC(C=C1)=CC=C1[*],Ei,5.9933
[*]CCCC(=O)[*],Ei,6.6298
[*]CCCC(=S)[*],Ei,5.7881
[*]CCC(=O)C(S1)=CC=C1[*],Ei,6.6564
[*]CCC(=O)C(C=C1)=CC=C1[*],Ei,6.8635
[*]CCC(=O)C(=S)[*],Ei,6.4199
[*]CCC(=S)O[*],Ei,6.2041
[*]CCNC(S1)=CC=C1[*],Ei,4.6632
[*]CCNC(C=C1)=CC=C1[*],Ei,4.8208
[*]CCNC(=S)[*],Ei,5.3628
[*]CCON[*],Ei,4.8207
[*]CC(=O)C(S1)=CC=C1C(S2)=CC=C2[*],Ei,5.6786
[*]CC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],Ei,6.0852
[*]CC(=O)C(S1)=CC=C1C(=O)[*],Ei,7.202
[*]CC(=O)C(S1)=CC=C1C(=S)[*],Ei,6.3101
[*]CC(=O)C(S1)=CC=C1O[*],Ei,6.261
[*]CC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],Ei,5.9294
[*]CC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Ei,6.2808
[*]CC(=O)C(C=C1)=CC=C1C(=O)[*],Ei,7.293
[*]CC(=O)C(C=C1)=CC=C1C(=S)[*],Ei,6.4748
[*]CC(=O)C(C=C1)=CC=C1O[*],Ei,6.5457
[*]CC(=O)CC(S1)=CC=C1[*],Ei,6.0343
[*]CC(=O)CC(C=C1)=CC=C1[*],Ei,6.2518
[*]CC(=O)CC(=O)[*],Ei,5.6663
[*]CC(=O)CC(=S)[*],Ei,5.8877
[*]CC(=O)CO[*],Ei,6.97
[*]CC(=O)C(=S)C(S1)=CC=C1[*],Ei,6.3305
[*]CC(=O)C(=S)C(C=C1)=CC=C1[*],Ei,6.263
[*]CC(=O)C(=S)C(=O)[*],Ei,6.8667
[*]CC(=O)C(=S)O[*],Ei,6.719
[*]CC(=O)NC(S1)=CC=C1[*],Ei,5.8021
[*]CC(=O)NC(C=C1)=CC=C1[*],Ei,5.8783
[*]CC(=O)NC(=O)[*],Ei,5.8547
[*]CC(=O)NC(=S)[*],Ei,5.8386
[*]CC(=O)OC(S1)=CC=C1[*],Ei,6.077
[*]CC(=O)OC(=O)[*],Ei,8.5901
[*]CC(=O)OC(=S)[*],Ei,6.7464
[*]CC(=S)C(S1)=CC=C1C(=S)[*],Ei,4.932
[*]CC(=S)C(S1)=CC=C1O[*],Ei,5.946
[*]CC(=S)C(C=C1)=CC=C1C(=S)[*],Ei,4.2727
[*]CC(=S)C(C=C1)=CC=C1N[*],Ei,5.6636
[*]CC(=S)C(C=C1)=CC=C1O[*],Ei,5.926
[*]CC(=S)CO[*],Ei,5.5936
[*]CC(=S)C(=O)O[*],Ei,6.5803
[*]CC(=S)NO[*],Ei,5.6761
[*]CNC(S1)=CC=C1C(C=C2)=CC=C2[*],Ei,5.4046
[*]CNC(S1)=CC=C1C(=O)[*],Ei,5.431
[*]CNC(S1)=CC=C1C(=S)[*],Ei,5.3497
[*]CNC(S1)=CC=C1N[*],Ei,4.8739
[*]CNC(S1)=CC=C1O[*],Ei,5.3042
[*]CNC(C=C1)=CC=C1C(S2)=CC=C2[*],Ei,5.0179
[*]CNC(C=C1)=CC=C1N[*],Ei,4.6919
[*]CNC(C=C1)=CC=C1O[*],Ei,5.1109
[*]CNCC(S1)=CC=C1[*],Ei,5.8087
[*]CNCC(C=C1)=CC=C1[*],Ei,6.259
[*]CNCC(=O)[*],Ei,6.367
[*]CNCC(=S)[*],Ei,6.0922
[*]CNCN[*],Ei,6.0806
[*]CNCO[*],Ei,6.4057
[*]CNC(=O)C(S1)=CC=C1[*],Ei,6.3237
[*]CNC(=O)C(=S)[*],Ei,7.0203
[*]CNC(=S)C(S1)=CC=C1[*],Ei,5.8964
[*]CNC(=S)C(C=C1)=CC=C1[*],Ei,5.75
[*]CNC(=S)C(=O)[*],Ei,6.3386
[*]CNC(=S)N[*],Ei,5.6855
[*]CNC(=S)O[*],Ei,6.2178
[*]CNOC(S1)=CC=C1[*],Ei,5.578
[*]CNOC(C=C1)=CC=C1[*],Ei,5.7444
[*]CNOC(=S)[*],Ei,6.7958
[*]CNON[*],Ei,6.3414
[*]COC(S1)=CC=C1C(C=C2)=CC=C2[*],Ei,5.3253
[*]COC(S1)=CC=C1O[*],Ei,5.7358
[*]COC(C=C1)=CC=C1O[*],Ei,5.8209
[*]COC(=O)O[*],Ei,8.8314
[*]COC(=S)O[*],Ei,6.8707
[*]CONC(=O)[*],Ei,7.3554
[*]CONO[*],Ei,7.0389
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Ei,5.3929
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Ei,6.113
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],Ei,5.5977
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Ei,5.7571
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Ei,6.0589
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],Ei,5.7839
[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Ei,7.0438
[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],Ei,6.8471
[*]C(=O)C(S1)=CC=C1C(=O)O[*],Ei,7.3658
[*]C(=O)C(S1)=CC=C1C(=S)O[*],Ei,6.7886
[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],Ei,6.3539
[*]C(=O)C(S1)=CC=C1OC(=S)[*],Ei,6.8199
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Ei,5.8483
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],Ei,6.028
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Ei,5.9803
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Ei,6.1599
[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Ei,7.268
[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],Ei,6.4709
[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],Ei,6.7765
[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],Ei,6.7625
[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],Ei,6.1761
[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],Ei,6.7719
[*]C(=O)OC(S1)=CC=C1C(=S)[*],Ei,6.6347
[*]C(=O)OC(S1)=CC=C1O[*],Ei,5.9838
[*]C(=O)OC(C=C1)=CC=C1C(=S)[*],Ei,6.6755
[*]C(=O)OC(=O)O[*],Ei,7.4502
[*]C(=O)OC(=S)O[*],Ei,7.3548
[*]NC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Ei,4.3058
[*]NC(S1)=CC=C1C(S2)=CC=C2C[*],Ei,4.9311
[*]NC(S1)=CC=C1C(S2)=CC=C2C(=O)[*],Ei,5.182
[*]NC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Ei,5.3242
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Ei,4.3893
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Ei,5.6909
[*]NC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Ei,5.2456
[*]NC(S1)=CC=C1C(=O)C(=S)[*],Ei,6.311
[*]NC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],Ei,5.2424
[*]NC(S1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Ei,5.2303
[*]NC(S1)=CC=C1NC(S2)=CC=C2[*],Ei,4.0261
[*]NC(S1)=CC=C1NC(=S)[*],Ei,5.1241
[*]NC(S1)=CC=C1OC(S2)=CC=C2[*],Ei,5.4925
[*]NC(S1)=CC=C1OC(=S)[*],Ei,5.6596
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Ei,4.896
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Ei,4.4871
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],Ei,5.6224
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Ei,4.5131
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Ei,4.7817
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C[*],Ei,5.1363
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Ei,5.3872
[*]NC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Ei,5.4547
[*]NC(C=C1)=CC=C1C(=O)C(=S)[*],Ei,6.3689
[*]NC(C=C1)=CC=C1C(=O)O[*],Ei,6.8988
[*]NC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Ei,5.3904
[*]NC(C=C1)=CC=C1NC(S2)=CC=C2[*],Ei,4.9639
[*]NC(C=C1)=CC=C1OC(S2)=CC=C2[*],Ei,5.3817
[*]NC(C=C1)=CC=C1OC(C=C2)=CC=C2[*],Ei,4.8032
[*]NC(C=C1)=CC=C1OC(=S)[*],Ei,5.9088
[*]NC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],Ei,5.5458
[*]NC(=O)C(S1)=CC=C1C(=O)[*],Ei,7.093
[*]NC(=O)C(S1)=CC=C1C(=S)[*],Ei,6.1268
[*]NC(=O)C(S1)=CC=C1O[*],Ei,6.5697
[*]NC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],Ei,6.1434
[*]NC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Ei,5.7787
[*]NC(=O)C(C=C1)=CC=C1C(=S)[*],Ei,6.3279
[*]NC(=O)C(C=C1)=CC=C1O[*],Ei,6.7472
[*]NC(=O)C(=S)C(S1)=CC=C1[*],Ei,6.6147
[*]NC(=O)C(=S)C(C=C1)=CC=C1[*],Ei,6.5245
[*]NC(=O)C(=S)C(=O)[*],Ei,6.114
[*]NC(=O)C(=S)O[*],Ei,7.7235
[*]NC(=O)NC(S1)=CC=C1[*],Ei,4.8361
[*]NC(=O)NC(=O)[*],Ei,5.9087
[*]NC(=O)NC(=S)[*],Ei,7.159
[*]NC(=O)NO[*],Ei,7.4857
[*]NC(=O)OC(S1)=CC=C1[*],Ei,5.369
[*]NC(=O)OC(C=C1)=CC=C1[*],Ei,5.9392
[*]NC(=O)OC(=S)[*],Ei,7.661
[*]NC(=S)C(S1)=CC=C1O[*],Ei,6.1012
[*]NC(=S)C(C=C1)=CC=C1O[*],Ei,5.884
[*]NC(=S)C(=O)O[*],Ei,6.5527
[*]NC(=S)NC(C=C1)=CC=C1[*],Ei,5.5113
[*]NC(=S)NC(=S)[*],Ei,7.0636
[*]NC(=S)NO[*],Ei,5.7438
[*]NC(=S)OC(=S)[*],Ei,6.6502
[*]NOC(=O)O[*],Ei,7.9654
[*]NOC(=S)O[*],Ei,7.5682
[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2OC(C=C3)=CC=C3[*],Ei,5.9845
[*]NC(=S)NC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],Ei,5.378
[*]CCOCCOC(=O)NC(=CC=C1(C))C=C1NC(=O)O[*],Ei,5.1123
[*]NC(=O)OC(=O)[*],Ei,8.2121
[*]C(=O)C(=S)C(=O)O[*],Ei,7.4364
[*]C(C=C1)=CC=C1OC(=O)CC(=O)CCO[*],Ei,6.7464
[*]CCOC(=S)NC(=S)C(C=C1)=CC=C1N[*],Ei,5.413
[*]CNCCCOCO[*],Ei,6.3776
[*]CNCNC(=O)NC(=O)N[*],Ei,6.2252
[*]CNC(=O)NCOCO[*],Ei,7.215
[*]CNC(=O)ONC(=O)NO[*],Ei,7.4526
[*]COCOCCCO[*],Ei,7.1508
[*]COC(=O)NCCNC[*],Ei,6.3844
[*]C(=O)C(S1)=CC=C1NC(=S)OC(S2)=CC=C2NC(S3)=CC=C3[*],Ei,5.4902
[*]C(=O)NC(=O)CNC(=O)ON[*],Ei,8.0693
[*]C(=O)NC(=O)NCCCN[*],Ei,6.8266
[*]C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N[*],Ei,5.7225
[*]C(=O)NC(=O)OC(=O)NCN[*],Ei,8.0251
[*]C(=O)NOCCCCO[*],Ei,6.4266
[*]OC(C=C1)=CC=C1C(=O)C(S2)=CC=C2C(=O)NOC(=O)[*],Ei,7.1656
[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(S2)=CC=C2[*],Ei,6.7826
[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(=S)[*],Ei,6.9673
[*]C(F)(F)C(S1)=CC=C1C(F)(F)O[*],Ei,7.2935
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(S2)=CC=C2[*],Ei,6.4074
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(C=C2)=CC=C2[*],Ei,6.6407
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(=S)[*],Ei,6.9546
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)O[*],Ei,7.7355
[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(=S)[*],Ei,6.7085
[*]C(F)(F)C(F)(F)C(S1)=CC=C1O[*],Ei,6.8728
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(S2)=CC=C2[*],Ei,6.0965
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Ei,6.3228
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S)[*],Ei,6.6143
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1O[*],Ei,6.9837
[*]C(F)(F)C(F)(F)CC(S1)=CC=C1[*],Ei,6.8904
[*]C(F)(F)C(F)(F)CC(C=C1)=CC=C1[*],Ei,7.001
[*]C(F)(F)C(F)(F)CC(=O)[*],Ei,7.9225
[*]C(F)(F)C(F)(F)CC(=S)[*],Ei,6.438
[*]C(F)(F)C(F)(F)CN[*],Ei,8.2676
[*]C(F)(F)C(F)(F)CO[*],Ei,9.8385
[*]C(F)(F)C(F)(F)C(=O)C(S1)=CC=C1[*],Ei,7.5565
[*]C(F)(F)C(F)(F)C(=O)C(C=C1)=CC=C1[*],Ei,7.7091
[*]C(F)(F)C(F)(F)C(=O)C(=S)[*],Ei,7.0732
[*]C(F)(F)C(F)(F)C(=S)O[*],Ei,7.093
[*]C(F)(F)C(F)(F)NC(S1)=CC=C1[*],Ei,5.871
[*]C(F)(F)C(F)(F)NC(C=C1)=CC=C1[*],Ei,6.1304
[*]C(F)(F)C(F)(F)NC(=O)[*],Ei,8.3456
[*]C(F)(F)C(F)(F)NC(=S)[*],Ei,6.3593
[*]C(F)(F)C(F)(F)ON[*],Ei,9.0368
[*]C(F)(F)CC(F)(F)C(S1)=CC=C1[*],Ei,7.1393
[*]C(F)(F)CC(F)(F)C(C=C1)=CC=C1[*],Ei,7.0413
[*]C(F)(F)CC(F)(F)C(=O)[*],Ei,8.1829
[*]C(F)(F)CC(F)(F)C(=S)[*],Ei,7.4545
[*]C(F)(F)CC(F)(F)N[*],Ei,8.5515
[*]C(F)(F)CC(F)(F)O[*],Ei,9.6085
[*]C(F)(F)C(=O)C(F)(F)C(=O)[*],Ei,7.3587
[*]C(F)(F)C(=O)C(F)(F)O[*],Ei,8.7917
[*]C(F)(F)C(=S)C(F)(F)O[*],Ei,7.385
[*]C(F)(F)NC(F)(F)C(S1)=CC=C1[*],Ei,7.3853
[*]C(F)(F)NC(F)(F)C(C=C1)=CC=C1[*],Ei,7.2657
[*]C(F)(F)NC(F)(F)C(=O)[*],Ei,8.5584
[*]C(F)(F)NC(F)(F)C(=S)[*],Ei,7.8892
[*]C(F)(F)NC(F)(F)N[*],Ei,8.5631
[*]C(F)(F)NC(F)(F)O[*],Ei,9.067
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],Ei,4.852
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(=S)[*],Ei,5.7249
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(S3)=CC=C3[*],Ei,5.643
[*]CC(S1)=CC=C1CO[*],Ei,6.0202
[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],Ei,6.205
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Ei,5.5122
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],Ei,6.162
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Ei,5.9085
[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],Ei,6.3469
[*]C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Ei,5.8604
[*]NC(S1)=CC=C1C(=O)O[*],Ei,6.0364
[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NCCCCCC[*],Ei,5.4552
[*]C(S1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3C(=O)NC(=O)N[*],Ei,5.1795
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2C(=S)C(=O)NC(C=C3)=CC=C3C(S4)=CC=C4[*],Ei,5.6233
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2CC(=S)C(S3)=CC=C3C(=S)CO[*],Ei,5.9175
[*]C(C=C1)=CC=C1NC(C=C2)=CC=C2C(=S)NC(S3)=CC=C3C(=O)N[*],Ei,5.2813
[*]CCC(=O)OC(=O)CC(C=C1)=CC=C1C(C=C2)=CC=C2[*],Ei,6.1951
[*]C(=O)NONC(=O)NC(S1)=CC=C1N[*],Ei,5.6948
[*]C(=S)C(=O)CCNC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Ei,5.8838
[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(S2)=CC=C2[*],Ei,5.8176
[*]C(F)(F)C(F)(F)C(=O)O[*],Ei,9.0985
